cpf,nome_funcionario,nome_empresa,cnpj_empresa
12345678901,João da Silva Santos,Tech Solutions Ltda,12345678000190
12345678902,Maria Oliveira Costa,Tech Solutions Ltda,12345678000190
12345678903,Pedro Henrique Souza,Tech Solutions Ltda,12345678000190
12345678904,Ana Paula Ferreira,Tech Solutions Ltda,12345678000190
12345678905,Carlos Eduardo Lima,Tech Solutions Ltda,12345678000190
98765432101,José Roberto Alves,Indústria Metalúrgica S.A.,98765432000110
98765432102,Francisca Pereira Gomes,Indústria Metalúrgica S.A.,98765432000110
98765432103,Antônio Carlos Ribeiro,Indústria Metalúrgica S.A.,98765432000110
98765432104,Mariana Santos Martins,Indústria Metalúrgica S.A.,98765432000110
98765432105,Fernando José Carvalho,Indústria Metalúrgica S.A.,98765432000110
55566677701,Dr. Ricardo Araújo Melo,Serviços Médicos Ltda,55566677000119
55566677702,Dra. Juliana Barbosa Cardoso,Serviços Médicos Ltda,55566677000119
55566677703,Dr. Rafael Nascimento Dias,Serviços Médicos Ltda,55566677000119
55566677704,Dra. Camila Costa Rocha,Serviços Médicos Ltda,55566677000119
55566677705,Dr. Bruno Silva Almeida,Serviços Médicos Ltda,55566677000119
