cpf,nome,cnpj,empresa,complexidade
10000000000,Funcionário 01,12345678000190,TechCorp Soluções Ltda,simples
10000000010,Funcionário 02,12345678000190,TechCorp Soluções Ltda,simples
10000000020,Funcionário 03,12345678000190,TechCorp Soluções Ltda,simples
10000000030,Funcionário 04,12345678000190,TechCorp Soluções Ltda,medio
10000000040,Funcionário 05,12345678000190,TechCorp Soluções Ltda,medio
10000000050,Funcionário 06,12345678000190,TechCorp Soluções Ltda,medio
10000000060,Funcionário 07,12345678000190,TechCorp Soluções Ltda,complexo
10000000070,Funcionário 08,12345678000190,TechCorp Soluções Ltda,complexo
10000000080,Funcionário 09,12345678000190,TechCorp Soluções Ltda,muito_complexo
10000000090,Funcionário 10,12345678000190,TechCorp Soluções Ltda,muito_complexo
10000001000,Funcionário 11,98765432000110,Inovação Digital S.A.,simples
10000001010,Funcionário 12,98765432000110,Inovação Digital S.A.,simples
10000001020,Funcionário 13,98765432000110,Inovação Digital S.A.,simples
10000001030,Funcionário 14,98765432000110,Inovação Digital S.A.,medio
10000001040,Funcionário 15,98765432000110,Inovação Digital S.A.,medio
10000001050,Funcionário 16,98765432000110,Inovação Digital S.A.,medio
10000001060,Funcionário 17,98765432000110,Inovação Digital S.A.,complexo
10000001070,Funcionário 18,98765432000110,Inovação Digital S.A.,complexo
10000001080,Funcionário 19,98765432000110,Inovação Digital S.A.,muito_complexo
10000001090,Funcionário 20,98765432000110,Inovação Digital S.A.,muito_complexo
10000002000,Funcionário 21,55566677000110,Consultoria Estratégica Brasil,simples
10000002010,Funcionário 22,55566677000110,Consultoria Estratégica Brasil,simples
10000002020,Funcionário 23,55566677000110,Consultoria Estratégica Brasil,simples
10000002030,Funcionário 24,55566677000110,Consultoria Estratégica Brasil,medio
10000002040,Funcionário 25,55566677000110,Consultoria Estratégica Brasil,medio
10000002050,Funcionário 26,55566677000110,Consultoria Estratégica Brasil,medio
10000002060,Funcionário 27,55566677000110,Consultoria Estratégica Brasil,complexo
10000002070,Funcionário 28,55566677000110,Consultoria Estratégica Brasil,complexo
10000002080,Funcionário 29,55566677000110,Consultoria Estratégica Brasil,muito_complexo
10000002090,Funcionário 30,55566677000110,Consultoria Estratégica Brasil,muito_complexo
