cpf,nome_funcionario,nome_empresa,cnpj_empresa
12345678901,João da Silva Santos,Tech Solutions Ltda,12345678000190
12345678905,Maria Oliveira Costa,Tech Solutions Ltda,12345678000190
12345678910,Pedro Henrique Alves,Tech Solutions Ltda,12345678000190
12345678915,Ana Paula Rodrigues,Tech Solutions Ltda,12345678000190
12345678920,Carlos Eduardo Ferreira,Tech Solutions Ltda,12345678000190
98765432110,Juliana Santos Lima,Indústria ABC S.A.,98765432000110
98765432120,Roberto Carlos Souza,Indústria ABC S.A.,98765432000110
55566677710,Fernanda Cristina Martins,Comércio XYZ Ltda,55566677000188
55566677719,Marcos Vinícius Pereira,Comércio XYZ Ltda,55566677000188
55566677720,Patrícia Helena Gomes,Comércio XYZ Ltda,55566677000188
