cpf,nome_funcionario,nome_empresa,cnpj_empresa
11122233301,João da Silva Santos,Tech Solutions Ltda,12345678000190
22233344402,Maria Oliveira Costa,Tech Solutions Ltda,12345678000190
33344455503,Pedro Henrique Alves,Tech Solutions Ltda,12345678000190
44455566604,Ana Paula Rodrigues,Indústria ABC S.A.,98765432000110
55566677705,Carlos Eduardo Ferreira,Indústria ABC S.A.,98765432000110
66677788806,Juliana Santos Lima,Indústria ABC S.A.,98765432000110
77788899907,Roberto Carlos Souza,Comércio XYZ Ltda,55566677000188
88899900008,Fernanda Cristina Martins,Comércio XYZ Ltda,55566677000188
99900011109,Marcos Vinícius Pereira,Comércio XYZ Ltda,55566677000188
10011122210,Patrícia Helena Gomes,Tech Solutions Ltda,12345678000190
